rh.aparc.a2009s.volume,rh_G_and_S_frontomargin_volume,rh_G_and_S_occipital_inf_volume,rh_G_and_S_paracentral_volume,rh_G_and_S_subcentral_volume,rh_G_and_S_transv_frontopol_volume,rh_G_and_S_cingul-Ant_volume,rh_G_and_S_cingul-Mid-Ant_volume,rh_G_and_S_cingul-Mid-Post_volume,rh_G_cingul-Post-dorsal_volume,rh_G_cingul-Post-ventral_volume,rh_G_cuneus_volume,rh_G_front_inf-Opercular_volume,rh_G_front_inf-Orbital_volume,rh_G_front_inf-Triangul_volume,rh_G_front_middle_volume,rh_G_front_sup_volume,rh_G_Ins_lg_and_S_cent_ins_volume,rh_G_insular_short_volume,rh_G_occipital_middle_volume,rh_G_occipital_sup_volume,rh_G_oc-temp_lat-fusifor_volume,rh_G_oc-temp_med-Lingual_volume,rh_G_oc-temp_med-Parahip_volume,rh_G_orbital_volume,rh_G_pariet_inf-Angular_volume,rh_G_pariet_inf-Supramar_volume,rh_G_parietal_sup_volume,rh_G_postcentral_volume,rh_G_precentral_volume,rh_G_precuneus_volume,rh_G_rectus_volume,rh_G_subcallosal_volume,rh_G_temp_sup-G_T_transv_volume,rh_G_temp_sup-Lateral_volume,rh_G_temp_sup-Plan_polar_volume,rh_G_temp_sup-Plan_tempo_volume,rh_G_temporal_inf_volume,rh_G_temporal_middle_volume,rh_Lat_Fis-ant-Horizont_volume,rh_Lat_Fis-ant-Vertical_volume,rh_Lat_Fis-post_volume,rh_Pole_occipital_volume,rh_Pole_temporal_volume,rh_S_calcarine_volume,rh_S_central_volume,rh_S_cingul-Marginalis_volume,rh_S_circular_insula_ant_volume,rh_S_circular_insula_inf_volume,rh_S_circular_insula_sup_volume,rh_S_collat_transv_ant_volume,rh_S_collat_transv_post_volume,rh_S_front_inf_volume,rh_S_front_middle_volume,rh_S_front_sup_volume,rh_S_interm_prim-Jensen_volume,rh_S_intrapariet_and_P_trans_volume,rh_S_oc_middle_and_Lunatus_volume,rh_S_oc_sup_and_transversal_volume,rh_S_occipital_ant_volume,rh_S_oc-temp_lat_volume,rh_S_oc-temp_med_and_Lingual_volume,rh_S_orbital_lateral_volume,rh_S_orbital_med-olfact_volume,rh_S_orbital-H_Shaped_volume,rh_S_parieto_occipital_volume,rh_S_pericallosal_volume,rh_S_postcentral_volume,rh_S_precentral-inf-part_volume,rh_S_precentral-sup-part_volume,rh_S_suborbital_volume,rh_S_subparietal_volume,rh_S_temporal_inf_volume,rh_S_temporal_sup_volume,rh_S_temporal_transverse_volume
102109,2550,4345,2881,2750,2760,7394,3936,3257,1879,840,4010,4374,1131,3182,12820,21729,1665,2875,7211,3757,6074,5708,4460,8102,9695,6836,4543,3943,7624,8759,2061,1132,927,5433,1762,2202,7866,10821,726,545,2318,5746,5855,5071,4931,2563,1172,2376,2931,1278,1148,5099,4069,5346,957,6826,2036,2525,1460,1981,4180,889,1556,3130,4341,2472,3490,3360,2477,569,3009,2690,13937,508
102311,1991,3511,2390,2645,2699,6763,4273,3189,1685,687,3451,3315,864,3511,10169,19277,1104,2163,4682,3950,4138,5153,3665,7237,5629,9110,6173,3272,6385,6356,1644,656,1210,6641,1992,2348,7345,8623,635,294,2857,4817,5260,4075,3950,1837,1117,2421,2757,2135,1005,4259,5141,5305,1344,6033,1134,2945,1898,1613,3254,1090,1229,2778,3897,1985,4055,2814,2052,706,1735,1546,10778,563
102513,2544,3188,2811,2804,3102,8128,4650,4264,2025,1227,4455,4205,991,3449,10976,20549,1051,2112,6757,4535,6241,6042,4158,8297,8743,6937,4943,4102,9240,6490,2206,717,1104,6592,2338,1806,10160,11356,763,622,2370,5562,7496,4845,5111,3234,1479,3075,2752,1769,979,4497,6749,6807,850,5596,2013,2727,1066,1843,4178,1041,1670,3057,4655,1817,3501,3709,3607,1067,2010,2750,13896,455
102614,2712,2023,2840,3317,3084,8177,4729,4756,1833,808,3209,4683,1585,3965,11318,18192,1406,2697,4607,3517,4892,4350,4362,8427,10330,7905,5014,4709,8367,7617,1777,448,1213,7561,2193,2174,10057,10314,628,598,2296,4095,7164,3898,4836,1956,1261,2708,3338,2223,773,3876,3044,5053,1125,5624,754,3129,1246,2186,3138,780,1197,3540,2901,1537,3210,3646,2579,1130,2644,2373,12737,561
102715,2302,4388,2542,4155,3687,6760,3979,3849,2244,1021,4516,4168,1244,3741,12606,20232,1303,2442,6452,4158,5422,5463,4887,8216,9625,7356,5985,4299,8720,7265,1859,569,1033,7202,3002,1611,9778,9869,822,494,2075,5199,5677,3580,4896,2391,1086,2155,3498,1965,1060,3781,5349,5874,1592,6764,1582,2741,1727,2229,3415,839,1631,3532,2976,2680,4026,3913,3082,769,2500,2649,14352,586
102816,1983,1907,2023,3102,2096,5992,3370,2707,1291,677,3199,3241,512,2651,9956,14852,1062,1691,4291,2414,4089,5310,4396,7031,6324,6107,5033,3439,5401,5212,1856,344,908,5061,1663,1618,8839,7916,627,356,2492,4298,5381,4180,3463,1774,846,2224,1954,2261,603,2968,2939,4710,668,6432,1394,1800,1626,1602,2920,607,1409,2596,2460,1282,2984,2567,2171,562,2469,2093,9001,753
103010,2595,2580,2478,3600,2311,7297,4003,3316,1658,631,3483,4142,516,2834,12184,19409,1492,2429,5175,2935,6105,4374,4768,7915,8345,6629,4725,5506,7215,5546,1663,557,821,6881,2282,1643,7956,9937,831,321,1996,4857,4918,3212,4895,2218,1095,2461,2295,2029,956,4066,3511,5326,487,5205,1679,1833,1563,1955,3768,771,1334,3498,4364,2498,3945,3754,2063,562,2258,2232,11837,501
103111,2308,2867,2288,3363,2565,6847,3229,2818,2057,543,3401,4526,838,3353,12552,18546,1391,1982,5363,3161,6074,5627,4454,7405,8721,6237,5650,4139,6945,7556,2123,800,1041,6849,2218,1774,8216,10519,654,381,2036,5344,6274,4052,4650,1903,1496,2837,2180,1977,914,4388,4391,5350,476,5666,1419,2506,1628,1901,3556,894,1427,3284,4201,1516,4522,4041,2358,477,2855,2837,13612,585
103212,2046,3146,2336,3093,2323,7148,3975,3354,1947,505,4222,3642,1020,3050,11320,16142,1036,2550,6571,3570,4361,5801,4570,8590,8141,7920,6072,4389,6916,6984,2189,588,716,5973,2015,1924,7530,10507,656,420,2183,6078,5112,4031,4554,2452,1269,2688,3019,2018,932,3959,4169,5691,907,6478,2148,3171,1185,1577,3241,870,1214,3726,3585,1466,4569,2786,2642,508,2485,2967,12910,560
103414,2003,3245,1781,2981,2517,5058,2776,2290,1051,412,3032,3117,1055,1785,9424,16374,1073,1486,5187,3740,4911,4975,2987,6753,7001,6906,5265,3252,6011,6249,1792,494,1432,6321,1770,1460,5645,8851,549,227,2033,4110,4689,2884,3290,1682,1185,2232,2000,1616,595,3224,2889,3995,953,4656,1020,2419,1194,1492,2894,631,1321,2963,3560,997,3380,2263,1626,890,2346,1367,12732,590
103515,2410,2192,2359,2587,2025,6678,3626,2893,1275,561,3058,3254,616,3143,12620,16900,1429,2119,5377,2746,6169,3488,4007,6155,8677,5743,4936,4567,6145,5974,1800,432,925,6429,1655,1918,6480,7532,814,485,1988,4008,5279,2320,3812,2303,892,2341,1885,1385,749,4861,4887,4519,876,5450,1465,2317,1360,2147,3932,1152,1684,2691,3480,1296,2670,2840,2015,835,2292,1910,11159,518
103818,1938,3128,2086,2623,1746,4919,3456,2528,1408,632,2972,3677,964,2999,9143,16446,1375,1898,6038,3226,4107,4567,4105,6531,6267,6068,3826,4984,7311,5882,1458,477,985,5750,1410,1218,6727,7819,1109,294,2178,4700,6055,3643,4086,1654,1377,2446,2056,2285,944,3634,3052,4493,285,4007,2154,1565,1739,1068,2860,917,1230,2709,2828,1584,3488,2925,1883,583,2499,2088,7892,444
104012,2090,3542,2712,2659,2425,7372,3384,3227,1238,646,3151,3403,1010,3377,10006,16058,936,1604,5130,3506,3883,7629,3694,6668,6178,6819,5260,3691,6820,5832,1513,632,1069,5537,2205,1464,7165,6973,701,378,1918,4117,5585,3815,4762,2146,869,1894,2319,2547,1002,3493,4857,3736,1108,5496,1830,2651,1272,1044,3386,940,1169,3031,3124,1273,3551,1841,2977,514,1917,1898,9849,337
104416,1436,3278,2101,3079,1878,6812,3517,3057,1444,726,2510,3689,559,2755,10255,17650,1431,1762,6034,3402,5736,3718,2924,6637,5338,6316,5231,3247,5743,6205,1512,268,1079,5376,2399,1762,7165,8874,620,510,2028,3865,6466,3476,3449,1749,944,2070,2203,1998,807,3601,2910,4011,477,4567,1759,2267,1714,1212,3667,959,1046,2303,4063,1208,4117,2303,1954,554,2025,2315,10903,545
104820,1857,2449,1843,2623,2381,4865,3064,2325,1184,703,2181,2188,562,2894,9376,15574,1180,1501,3616,2449,4168,3754,3883,6147,6516,5577,3458,2726,6291,4534,1420,426,847,5000,1500,1943,5815,7419,509,418,2082,4087,5304,3159,3870,1741,929,1868,1824,1713,700,3383,3689,3956,411,4516,961,1577,1112,802,2322,624,1379,2222,2831,1384,2568,1815,1947,600,1921,2155,8736,515
105014,1953,1979,2509,2454,2699,5821,3415,3311,1350,442,3182,3858,1328,3504,10503,17926,1078,2136,6076,4014,6513,4079,4062,7447,7135,7488,4647,4226,5996,5822,1937,420,1010,5514,1902,2125,8491,8971,760,407,2385,4185,5186,2861,4051,2360,928,2187,2284,1828,826,3723,4398,4652,1178,4360,1196,2766,1847,2160,3558,917,1340,2761,3776,2112,3893,2478,2251,600,2616,2121,11284,408
105115,2085,2568,2302,3410,2618,7005,3107,2539,1573,690,3769,4462,823,2052,8656,17970,1621,1712,5555,3357,3724,4932,3970,7218,6951,6900,5913,3937,7017,6774,1737,241,1102,5801,1857,1962,8701,10514,446,281,2073,3926,5931,3009,4510,1821,970,2074,2455,2233,417,3776,4129,4747,569,5044,1326,2059,1649,1915,3513,616,1345,2940,3516,1677,3188,2948,1963,774,1915,3341,10843,314
105216,2705,2671,2986,3450,3178,8062,4598,4057,1952,798,3814,4676,1116,3288,10118,21928,1767,2383,6690,3505,5741,6977,6069,8466,8963,7098,6692,5193,9477,8040,1974,521,1037,6954,2670,2118,10153,12542,679,637,2362,6117,6250,4250,5232,2454,1223,2335,2543,3184,1182,3782,6277,6816,293,5747,1830,2792,1949,1508,4272,549,1791,3365,3588,1900,4161,3575,3172,658,2779,2982,14296,591
105620,1906,2726,2526,2942,2071,6045,3183,3171,2001,754,3823,3485,915,3416,9489,17843,1085,2353,6235,3765,5141,5171,4410,6678,7999,6666,4667,4539,7218,6536,1426,669,877,5760,1590,1824,8102,8886,764,343,2240,4871,5864,3684,4479,2196,1375,2501,2086,2254,202,3583,3633,5556,641,5275,1825,2809,1004,1408,2997,688,1341,2880,3097,2562,3305,2759,1922,477,2111,3067,10757,658
105923,2160,2575,2283,3737,2225,6705,3520,3411,1762,760,3521,4127,731,2239,10205,17963,1146,1917,4808,3007,4043,5239,3492,7219,8661,5788,5193,3561,6423,6055,2203,583,1022,4500,1849,2204,7182,10815,556,287,2464,5688,5752,3671,3999,2219,1146,1938,2012,1204,822,4229,5281,5024,430,5865,1155,2465,1136,1112,4354,611,1529,3230,3621,2449,2894,3515,2101,429,1832,2727,11515,513
106016,2341,2664,2351,3175,2971,6395,3510,3192,1345,515,3710,3906,1087,3762,9387,17169,1460,2245,3934,2811,4897,4992,4434,6626,7031,6211,6189,4307,7363,6057,2019,292,1245,6320,2102,1367,6107,8945,718,363,1992,5210,6256,4235,4733,1727,942,2226,2341,2466,540,3689,5581,5517,807,5294,1778,1567,1349,1978,2414,820,1340,2540,3887,1255,2846,2779,1943,634,1936,2435,10327,535
106319,2201,2225,2150,2441,2222,6562,4201,2717,1855,644,3248,3225,929,1841,10224,14925,1266,1876,4715,2746,4199,5407,4859,6831,7891,7207,5230,3766,6142,5729,1947,445,869,5356,1703,1072,8712,9541,422,260,2109,4745,5587,3943,4383,2111,1238,1792,1763,2433,937,2792,4545,4002,473,6250,1297,2203,1034,1650,2960,668,1333,2652,2878,1717,3625,3267,1845,619,2271,2576,11587,474
106521,2007,3413,2488,2956,2555,6686,4849,3572,1794,816,3862,3695,1252,2624,14972,19457,1371,2214,6669,3574,4063,5899,4034,6555,7235,5541,4486,6057,7380,6642,1803,958,1005,6287,1482,1579,8092,9575,552,206,2261,4860,5096,5111,5278,2770,1006,2336,2307,2503,796,3635,4569,5128,739,5331,1675,3764,1426,1350,3314,1011,1552,2290,3909,2017,3920,3988,2826,550,2119,2590,11624,493
106824,2342,3390,2481,3922,2723,7544,5005,4610,2330,635,3449,4237,1357,4210,12744,19747,1538,2113,4740,4042,6934,5253,5066,8681,9114,8116,4760,4647,8460,7010,2382,786,1352,7045,2107,2385,9902,10077,894,581,2772,5840,5908,4250,4117,2170,1105,2611,3471,2996,619,4934,4045,6005,466,5665,1464,3186,1279,2234,3539,1549,1461,3258,3812,1844,3597,4041,2671,917,2920,2420,14440,745
107018,2243,2836,1988,2569,2790,6530,3650,2720,1482,627,2846,3839,871,1836,10808,17994,898,1714,5328,3222,4385,4650,3525,6730,6809,5721,4445,3836,7014,5323,1657,475,897,5990,1346,1506,6817,7672,546,271,2225,4537,4934,3166,4892,1811,836,2176,2025,2296,796,3273,3742,4283,381,4124,1633,2722,736,1054,2567,1056,1225,3141,3356,1448,3148,2484,2644,627,1651,1891,10483,509
107220,2765,2252,2400,3300,2468,7336,3903,3856,1641,484,3732,3595,883,2476,11036,21050,1258,2233,4580,3463,5398,5425,4155,7679,8186,6953,4602,5096,7776,7300,2150,492,901,5564,1963,1363,9447,9965,520,508,2209,4761,5184,3943,5347,2328,1021,2281,2540,2179,590,3641,4606,5590,1068,5314,1679,2810,1059,1407,3596,484,1241,3135,3278,2445,4247,3683,2745,478,2171,2573,11219,593
